Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Loudness,Speechiness,Acousticness
We're Going To Ibiza!,Vengaboys,The Party Album!,Vengaboys,04/06/1999,217539,FALSE,61,"eurodance,europop",0.786,0.876,-4.899,0.0362,0.0114
The Hippy Hippy Shake,The Swinging Blue Jeans,The EMI Years: Best of the Swinging Blue Jeans,The Swinging Blue Jeans,18/05/1992,106066,FALSE,0,"british invasion,merseybeat",0.551,0.686,-11.969,0.0536,0.346
Mama Didn't Lie,Jan Bradley,Mama Didn't Lie,Jan Bradley,12/03/2014,121312,FALSE,15,chicago soul,0.741,0.595,-7.24,0.0517,0.794
Dark Times,"The Weeknd, Ed Sheeran",Beauty Behind The Madness,The Weeknd,28/08/2015,260640,TRUE,0,"canadian contemporary r&b,canadian pop,pop,pop,singer-songwriter pop,uk pop",0.585,0.421,-9.593,0.0707,0.106
Rocksteady,Slip-On Stereo,Rocksteady,Slip-On Stereo,27/01/2015,204478,FALSE,1,australian indigenous music,0.806,0.717,-5.089,0.0498,0.00319
The Animal Song,Savage Garden,The Singles,Savage Garden,12/06/2015,280947,FALSE,0,"boy band,dance pop,pop rock",0.656,0.637,-8.728,0.0372,0.0757
Think About Tomorrow Today,The Master's Apprentices,Greatest Hits,The Master's Apprentices,01/01/1995,202840,FALSE,6,australian rock,0.346,0.828,-4.514,0.0617,0.682
Whatta Man,"Salt-N-Pepa, En Vogue",Very Necessary,Salt-N-Pepa,12/10/1993,308360,FALSE,0,"girl group,golden age hip hop,hip hop,hip pop,old school hip hop,queens hip hop,contemporary r&b,girl group,hip pop,new jack swing,r&b,urban contemporary",0.753,0.545,-10.685,0.21,0.162
Lambada - Original Radio Edit,Kaoma,World Beat,Kaoma,1989,208840,FALSE,54,zouk,0.753,0.588,-12.454,0.0331,0.228
Flowers,Miley Cyrus,Endless Summer Vacation,Miley Cyrus,10/03/2023,200600,FALSE,12,pop,0.706,0.691,-4.775,0.0633,0.0584
How Do You Talk To An Angel?,The Heights,The Heights,The Heights,01/01/1992,227266,FALSE,46,,0.404,0.51,-11.353,0.0321,0.281
Child's Play,Sherbet,Anthology,Sherbet,11/10/2008,198613,FALSE,0,australian rock,0.608,0.751,-7.832,0.0408,0.0779
Uptight Downtown,La Roux,Trouble In Paradise,La Roux,01/01/2014,262000,FALSE,0,"alternative dance,electropop,indietronica,neo-synthpop",0.752,0.731,-7.884,0.028,0.00138
She,Ed Sheeran,5,Ed Sheeran,20/06/2014,244653,FALSE,40,"pop,singer-songwriter pop,uk pop",0.573,0.344,-10.91,0.0361,0.811
Would You Lay With Me (In A Field Of Stone),Judy Stone,Aussie Country,Various Artists,01/11/2016,216333,FALSE,0,classic australian country,0.367,0.674,-9.252,0.043,0.385
The Letter,The Box Tops,The Letter/Neon Rainbow,The Box Tops,1967,112800,FALSE,72,"bubblegum pop,classic garage rock,folk rock,merseybeat,psychedelic rock,rock-and-roll",0.638,0.428,-12.156,0.0687,0.252
Floating Through Space,"Sia, David Guetta",Floating Through Space,"Sia, David Guetta",04/02/2021,177800,FALSE,54,"pop,big room,dance pop,edm,pop,pop dance",0.575,0.844,-4.89,0.072,0.00172
The First Time Ever I Saw Your Face,Roberta Flack,First Take,Roberta Flack,1969,260666,FALSE,58,"adult standards,classic soul,disco,quiet storm,soft rock,soul,vocal jazz",0.311,0.0264,-21.644,0.037,0.731
Sarah,Eskimo Joe,"Black Fingernails, Red Wine",Eskimo Joe,10/06/2006,209413,FALSE,37,"australian alternative rock,australian rock,perth indie",0.632,0.846,-4.03,0.0498,0.0337
Ride It - Jonas Blue Remix,"Regard, Jonas Blue",Ride It (Jonas Blue Remix),"Regard, Jonas Blue",01/11/2019,182400,FALSE,57,"pop dance,pop edm,slap house,uk dance,pop,pop dance,tropical house,uk dance",0.689,0.946,-3.814,0.0397,0.00658
Ridin' Solo,Jason Derulo,Jason Derulo (International),Jason Derulo,26/02/2010,215746,FALSE,63,"dance pop,pop",0.442,0.83,-4.02,0.146,0.128
Piece Of Your Heart,"MEDUZA, Goodboys",Piece Of Your Heart,"MEDUZA, Goodboys",01/02/2019,152913,FALSE,67,"edm,pop dance,pop house,uk dance,pop dance,uk dance",0.677,0.744,-6.806,0.0295,0.0404
I'm The Leader Of The Gang (I Am),Gary Glitter,Glitter,Gary Glitter,1973,208626,FALSE,33,,0.249,0.939,-9.152,0.259,0.000123
Another Chance,Roger Sanchez,First Contact,Roger Sanchez,23/07/2000,452906,FALSE,46,"disco house,diva house,tribal house",0.61,0.82,-10.029,0.0312,0.000211
Daylight (feat. Travis McCoy),"Kelly Rowland, Travis McCoy",Ms. Kelly: Deluxe Edition,Kelly Rowland,2007,209760,FALSE,18,"atl hip hop,dance pop,hip pop,r&b,urban contemporary",0.697,0.926,-4.16,0.0991,0.036
20 Miles,Ray Brown And The Whispers,Miles Of Hits,Ray Brown And The Whispers,1988,137560,FALSE,21,,0.6,0.637,-11.011,0.0302,0.202
Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",Despacito Feat. Justin Bieber (Remix),"Luis Fonsi, Daddy Yankee",17/04/2017,228826,FALSE,69,"latin pop,puerto rican pop,latin hip hop,reggaeton,trap latino,urbano latino,canadian pop,pop",0.653,0.816,-4.353,0.167,0.228
